Firm,Equity_Attributable_to_Owners,Value_of_New_Business
1,310.94,29.236
2,449.285,14.989
3,474.194,14.125
4,408.375,7.701
5,479.027,33.356
6,537.523,21.862
7,638.1124167,30.657
8,683.6284819,37.578
9,536.186,56.099
10,34.92520323,8.769
11,83.64066947,8.03
12,310.94,29.236
13,449.285,14.989
14,474.194,14.125
15,408.375,7.701
16,479.027,33.356
17,537.523,21.862
18,590.322,39.426
19,602.018,45.608
20,536.186,56.099
21,166.091,50.2
22,272.256,7.16
23,292.286,16.23
24,267.89,22.6
25,280.977,30.8
26,323.383,36.8
27,363.88,51.2
28,373.524,56
29,367.188,76
30,166.091,50.2
31,272.256,7.16
32,292.286,16.23
33,267.89,22.6
34,280.977,30.8
35,323.383,36.8
36,363.88,51.2
37,373.524,56
38,367.188,76
39,1695.906,68
40,2278.310912,101
41,2703.505648,161
42,2656.977596,189
43,3066.707499,302
44,3689.626919,346
45,4030.0174,406
46,4458.342259,441
47,5111.777942,458
48,43.33853647,17.8
49,47.30225225,28.9
50,63.53229797,42.2
51,103.5820362,34
52,143.5398624,40
53,194.8579842,87
54,328.91054,110
55,310.7869468,62
56,1695.906,68
57,2224.239,118.8
58,2625.275,189.9
59,2550.964,231.2
60,2951.239,336
61,3557.505,386
62,3805.045,493
63,4159.515,551
64,4806.711,520
65,2867.072248,143
66,3155.12042,188.7
67,3526.10234,294
68,4013.001974,315.4
69,3988.681742,395
70,4532.282654,823
71,4855.279194,1004
72,5131.328437,1028
73,5358.339305,1014
74,5536.805701,895
75,121.6627411,59.1
76,67.22670114,77
77,44.7620975,110.7
78,81.19957865,155
79,154.6530989,171
80,179.8825891,215
81,214.4481818,276
82,248.9282107,250
83,295.452098,180
84,2933.122,143
85,2396.756,247.8
86,3106.451,371
87,3578.37,426.1
88,3525.25,550
89,4147.228,994
90,4506.369,1219
91,4717.86,1304
92,4906.758,1264
93,5161.231,1075
94,4061.163464,169
95,2937.190344,135.4
96,3740.949776,271.8
97,4321.840667,337.5
98,4092.463773,296.4
99,3764.988996,304.2
100,4278.115352,388.1
101,4693.925322,367.1
102,5024.007634,453.4
103,5175.946314,525.1
104,75.10336032,29
105,65.56557327,93.1
106,63.41673101,76.8
107,110.8692222,128.8
108,146.0964044,117.2
109,76.42472982,120.6
110,88.25529334,124
111,66.23613526,177.7
112,514.9790843,197.1
113,547.5351686,190.9
114,3585.678,198
115,2475.039,228.5
116,3430.399,348.6
117,3989.233,466.3
118,3692.816,413.6
119,3414.375,424.8
120,3898.031,512.1
121,4266.821,544.8
122,4548.028,650.5
123,4674.188,716
124,3779.891642,194.2
125,3430.816909,216.8
126,4389.818162,230.2
127,4975.570957,342.5
128,4918.133425,302.3
129,5178.004691,539.3
130,5548.370885,460.5
131,5711.190794,488
132,5688.260573,338
133,5858.959088,415
134,170.9202562,53.6
135,157.1523681,83
136,138.2961375,61.4
137,170.5778677,83.7
138,405.3440776,127.8
139,433.0956529,99.1
140,458.9599057,108.4
141,516.6939802,167
142,554.0694342,181
143,576.222107,110
144,3381.296,247.8
145,2986.81,299.8
146,4053.153,291.6
147,4634.875,426.2
148,4537.619,430.1
149,4794.71,638.4
150,5139.017,568.9
151,5275.79,655
152,5226.072,519
153,5385.083,525
154,4075.535692,72
155,3152.154154,123
156,3359.472003,107
157,3515.433749,95
158,2038.679938,123
159,1704.936143,149
160,1720.958925,157
161,1552.306679,289
162,1590.044941,311
163,1122.750731,132
164,677.1947692,161
165,758.0247154,135
166,93.77539605,161
167,130.9934672,171
168,139.8464201,211
169,271.0401017,270
170,312.5350279,314
171,247.6054973,363
172,1285.97,204
173,1949.968,284
174,2252.639,242
175,2200.291,256
176,2616.858,294
177,2924.873,360
178,3065.959,427
179,3180.155,603
180,3376.981,674
